year,Iceout_date,Day,Julian Date,Classification
1962,15-May-62,15-May,135,Average
1963,17-May-63,17-May,137,Average
1964,9-May-64,9-May,130,Average
1965,10-May-65,10-May,130,Average
1966,15-May-66,15-May,135,Average
1967,19-Jun-67,19-Jun,170,Late
1968,3-May-68,3-May,124,Average
1969,3-Jun-69,3-Jun,154,Average
1970,1-May-70,1-May,121,Average
1971,20-May-71,20-May,140,Average
1972,13-May-72,13-May,134,Average
1973,20-May-73,20-May,140,Average
1974,10-Jun-74,10-Jun,161,Late
1975,13-Jun-75,13-Jun,164,Late
1976,15-May-76,15-May,136,Average
1977,21-Apr-77,21-Apr,111,Average
1978,8-Jun-78,8-Jun,159,Late
1979,22-May-79,22-May,142,Average
1980,16-May-80,16-May,137,Average
1981,25-Apr-81,25-Apr,115,Average
1982,25-May-82,25-May,145,Average
1983,6-Jul-83,6-Jul,187,Late
1984,10-May-84,10-May,131,Average
1985,1-May-85,1-May,121,Average
1986,14-May-86,14-May,134,Average
1987,29-Apr-87,29-Apr,119,Average
1988,31-Mar-88,31-Mar,91,Early
1989,21-Apr-89,21-Apr,111,Average
1990,8-Apr-90,8-Apr,98,Early
1991,18-May-91,18-May,138,Average
1992,12-May-92,12-May,133,Average
1993,28-May-93,28-May,148,Average
1994,15-Apr-94,15-Apr,105,Early
1995,15-May-95,15-May,135,Average
1998,26-Jun-98,26-Jun,177,Late
1999,15-May-99,15-May,135,Average
2000,15-May-00,15-May,136,Average
2001,15-May-01,15-May,135,Average
2002,1-May-02,1-May,121,Average
2003,1-Jun-03,1-Jun,152,Average
2004,15-May-04,15-May,136,Average
2005,27-May-05,27-May,147,Average
2006,2-Jun-06,2-Jun,153,Average
2007,26-Apr-07,26-Apr,116,Average
2008,19-May-08,19-May,140,Average
2009,20-May-09,20-May,140,Average
2010,25-Jun-10,25-Jun,176,Late
2011,27-Jun-11,27-Jun,178,Late
2012,1-May-12,1-May,121,Average
2013,15-May-13,15-May,135,Average
2014,26-Feb-14,26-Feb,57,Early
2015,20-Feb-15,20-Feb,51,Early
2016,21-Apr-16,21-Apr,111,Average
2017,27-May-17,27-May,147,Average
2018,11-Apr-18,11-Apr,101,Early
2019,3-Jun-19,3-Jun,153,Average
2020,25-Apr-20,25-Apr,116,Average
2021,3-May-21,3-May,123,Average
2022,14-Apr-22,14-Apr,104,Early
2023,16-Jun-23,16-Jun,167,Late
